,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
451,"Thursday, August 7, 1952",Dirty Data,31 N 56,81 W 18,Caroline Aaron,Richmond,hollywood,-5.0,12:00:00
452,"Thursday, December 7, 1978",Dirty Data,34 N 0,118 W 15,Shiri Appleby,Los angeles,hollywood,-5.0,12:00:00
453,"Thursday, October 12, 1950",Dirty Data,35 N 7,117 W 59,Susan Anton,California,hollywood,-5.0,12:00:00
454,"Thursday, May 17, 1973",Dirty Data,34 N 0,118 W 15,Sasha Alexander,Los angeles,hollywood,-5.0,12:00:00
455,"Friday, February 24, 1989",Dirty Data,51 N 30,0 W 5,Daniel Kaluuya,London,hollywood,0.0,12:00:00
456,"Tuesday, April 15, 1997",Dirty Data,51 N 26,2 W 35,Maisie Williams,Bristol,hollywood,0.0,12:00:00
457,"Wednesday, February 21, 1996",Dirty Data,40 N 41,75 W 29,Sophie Turner,Northampton,hollywood,-5.0,12:00:00
458,"Thursday, November 7, 1996",Internet,36 S 52,174 E 46,Lorde,Auckland,hollywood,12.0,10:00:00
459,"Monday, July 31, 1989",Dirty Data,34 N 0,118 W 15,Jessica Williams,Los angeles,hollywood,-5.0,12:00:00
460,"Wednesday, November 22, 2000",Dirty Data,19 N 26,155 W 15,Aulii Cravalho,Hawaii,hollywood,-5.0,12:00:00
461,"Thursday, December 7, 1989",Dirty Data,33 N 22,93 W 43,Caleb Landry Jones,Garland,hollywood,-5.0,12:00:00
462,"Sunday, October 31, 1993",Dirty Data,6 N 50,58 W 12,Letitia Wright,Georgetown,hollywood,-3.0,12:00:00
463,"Monday, August 16, 1993",Dirty Data,35 N 7,117 W 59,Cameron Monaghan,California,hollywood,-5.0,12:00:00
464,"Monday, December 23, 2002",Internet,49 N 13,123 W 10,Finn Wolfhard,Vancouver,hollywood,-5.0,23:30:00
465,"Thursday, February 10, 2000",Internet,44 N 58,93 W 20,Yara Shahidi,Minneapolis,hollywood,-5.0,02:00:00
466,"Thursday, July 12, 1990",Dirty Data,43 N 2,87 W 54,Rachel Brosnahan,Milwaukee,hollywood,-5.0,12:00:00
467,"Monday, September 20, 1976",Dirty Data,38 N 54,77 W 2,Jon Bernthal,Washington D.C.,hollywood,-5.0,12:00:00
468,"Tuesday, December 21, 1948",Dirty Data,38 N 54,77 W 2,Samuel L. Jackson,Washington D.C.,hollywood,-5.0,12:00:00
469,"Wednesday, November 12, 1980",Internet,42 N 58,81 W 15,Ryan Gosling,London,hollywood,-5.0,14:34:00
470,"Thursday, May 12, 1983",Dirty Data,53 N 20,6 W 18,Domhnall Gleeson,Dublin,hollywood,0.0,12:00:00
471,"Wednesday, April 1, 1987",Dirty Data,49 N 13,123 W 10,Mackenzie Davis,Vancouver,hollywood,-5.0,12:00:00
472,"Friday, April 10, 1992",Dirty Data,51 N 30,0 W 5,Daisy Ridley,London,hollywood,0.0,12:00:00
473,"Monday, August 12, 1991",Internet,34 N 7,117 W 18,Lakeith Stanfield,San bernardino,hollywood,-5.0,10:07:00
474,"Monday, February 9, 1987",Dirty Data,57 N 9,2 W 6,Rose Leslie,Aberdeen,hollywood,0.0,12:00:00
475,"Monday, November 6, 1972",Dirty Data,51 N 30,0 W 5,Thandie Newton,London,hollywood,0.0,12:00:00
476,"Thursday, January 7, 1971",Internet,35 N 7,117 W 59,Jeremy Renner,California,hollywood,-5.0,11:06:00
477,"Wednesday, December 27, 1995",Internet,40 N 42,74 W 0,Timothee Chalamet,New york,hollywood,-5.0,21:16:00
478,"Saturday, April 2, 1988",Dirty Data,33 N 35,92 W 24,Jesse Plemons,Dallas,hollywood,-5.0,12:00:00
479,"Friday, November 15, 1991",Internet,34 N 7,117 W 18,Shailene Woodley,San bernardino,hollywood,-5.0,21:06:00
480,"Monday, November 11, 1996",Dirty Data,37 N 34,91 W 41,Tye Sheridan,Texas,hollywood,-5.0,12:00:00
481,"Friday, February 10, 1967",Internet,35 N 7,117 W 59,Laura Dern,California,hollywood,-5.0,07:48:00
482,"Friday, January 6, 1984",Dirty Data,40 N 42,74 W 0,Kate Mckinnon,New york,hollywood,-5.0,12:00:00
483,"Tuesday, June 26, 1984",Dirty Data,39 N 8,85 W 12,Aubrey Plaza,Delaware,hollywood,-5.0,12:00:00
484,"Sunday, October 18, 1987",Internet,35 N 7,117 W 59,Zac Efron,California,hollywood,-5.0,13:22:00
485,"Monday, February 9, 1981",Dirty Data,51 N 30,0 W 5,Tom Hiddleston,London,hollywood,0.0,12:00:00
486,"Friday, April 8, 1966",Dirty Data,33 N 35,92 W 24,Robin Wright,Dallas,hollywood,-5.0,12:00:00
487,"Wednesday, December 11, 1996",Internet,35 N 7,117 W 59,Hailee Steinfeld,California,hollywood,-5.0,17:26:00
488,"Tuesday, August 26, 1980",Internet,35 N 7,117 W 59,Chris Pine,California,hollywood,-5.0,08:25:00
489,"Wednesday, December 30, 1942",Dirty Data,40 N 42,74 W 0,Betty Aberlin,New york,hollywood,-5.0,12:00:00
490,"Sunday, April 04, 1965",Dirty Data,40 N 45,73 W 57,Robert Downey Jr,Manhattan,hollywood,-4.0,12:00:00
491,"Thursday, February 27, 1958",Dirty Data,42 N 13,73 W 51,Bruce Wayne,"73 W 51, 42 N 13",hollywood,-5.0,20:00:00
492,"Thursday, July 05, 1956",Dirty Data,23 S 0,43 W 12,Monique Evans,Rio de Janeiro,hollywood,-3.0,20:39:59
493,"Saturday, July 07, 1956",Dirty Data,35 N 7,117 W 59,Bruce Ross Morgan,Santa Monica,hollywood,-5.0,17:53:00
494,"Friday, November 10, 1967",Unknown,22 N 52,78 E 50,Ashutosh Rana,Gadarwara,hollywood,5.5,12:00:00
495,"Sunday, July 07, 1968",Unknown,40 N 42,74 W 0,Jorja Fox,New york,hollywood,-5.0,12:00:00
496,"Wednesday, September 16, 1992",Dirty Data,33 N 35,92 W 24,Nick Jonas,Dallas,hollywood,-5.0,00:00:00
497,"Tuesday, November 29, 1977",Dirty Data,38 N 0,85 W 1,Chadwick Boseman,Anderson,hollywood,-5.0,00:00:00
498,"Tuesday, October 01, 1985",Internet,34 N 3,118 W 15,Alexandra Brown,"118 W 15, 34 N 3",hollywood,-8.0,16:39:59
499,"Tuesday, May 07, 1968",Internet,40 N 21,80 W 37,Traci Lords,"80 W 37, 40 N 21",hollywood,-5.0,17:19:00
500,"Sunday, October 17, 1965",Web,34 N 6,118 W 20,Tony Cimber,Hollywood,hollywood,-7.0,09:18:00
501,"Saturday, October 24, 1981",Unknown,1 N 16,103 E 51,Tila Tequila,Singapore,hollywood,8.0,12:00:00
502,"Wednesday, November 06, 1946",Web,34 N 9,118 W 9,Sally Field,Pasadena,hollywood,-8.0,04:23:00
503,"Saturday, May 11, 1963",Web,51 N 30,0 W 10,Natasha Richardson,London,hollywood,1.0,17:00:00
504,"Tuesday, June 01, 1926",Lagna Phal (Garg),34 N 3,118 W 15,Marilyn Monroe,Los Angeles,hollywood,-8.0,10:00:00
505,"Tuesday, December 21, 1937",Kundli Sangraha (Tendulkar),40 N 42,74 W 0,Jane Fonda,New york,hollywood,-5.0,09:14:00
506,"Monday, December 29, 1969",Unknown,33 N 54,90 W 45,Jennifer Ehle,Winston,hollywood,-5.0,12:00:00
507,"Thursday, February 05, 1948",Web,34 N 3,118 W 15,Barbara Hershey,Los angeles,hollywood,-8.0,10:01:00
508,"Saturday, March 07, 1908",Kundli Sangraha (Tendulkar),41 N 54,12 E 30,Anna Magnani,Rome,hollywood,1.0,13:30:00
509,"Thursday, July 09, 1936",Internet,55 N 57,4 W 45,Richard Wilson,"4 W 45, 55 N 57",hollywood,0.0,23:57:59
510,"Saturday, July 08, 1989",Internet,35 N 7,90 W 3,Miracle Baby Page,"90 W 3, 35 N 7",hollywood,-6.0,04:15:00
511,"Wednesday, July 08, 1992",Internet,36 N 10,86 W 46,Taylor Brooks,"86 W 46, 36 N 10",hollywood,-6.0,18:55:00
512,"Thursday, March 19, 1936",Kundli Sangraha (Tendulkar),46 N 57,7 E 28,Ursula Andress,Bern,hollywood,1.0,13:00:00
513,"Thursday, April 02, 1914",Kundli Sangraha (Tendulkar),51 N 30,0 W 10,Alec Guinness,Paddington,hollywood,0.0,05:45:00
514,"Sunday, December 24, 1922",Kundli Sangraha (Tendulkar),35 N 57,77 W 1,Ava Gardner,Grabtown,hollywood,-5.0,19:10:00
515,"Friday, February 19, 1717",Kundli Sangraha (Tendulkar),52 N 3,2 W 43,David Garrick,Hereford,hollywood,1.0,22:00:00
516,"Tuesday, July 03, 1962",Kundli Sangraha (Tendulkar),43 N 1,76 W 7,Tom Cruise,Syracuse,hollywood,-5.0,03:20:00
517,"Thursday, March 23, 1905",Kundli Sangraha (Tendulkar),29 N 28,98 W 30,Joan Crawford,San Antonio,hollywood,-6.0,22:00:00
518,"Friday, September 30, 1921",Kundli Sangraha (Tendulkar),56 N 0,4 W 43,Deborah Kerr,Helensburgh,hollywood,1.0,07:40:00
519,"Saturday, January 18, 1913",Kundli Sangraha (Tendulkar),40 N 42,74 W 0,Danny Kaye,New york,hollywood,-5.0,05:30:00
520,"Tuesday, March 17, 1789",Kundli Sangraha (Tendulkar),54 N 0,2 W 0,Edmund Kean,lanadan,hollywood,0.0,08:00:00
521,"Tuesday, August 02, 1932",Kundli Sangraha (Tendulkar),39 N 15,81 W 46,Peter Otoole,Vikla Ireland,hollywood,-4.0,00:15:00
522,"Saturday, January 05, 1946",Kundli Sangraha (Tendulkar),34 N 3,118 W 14,Diane Keaton,Los angeles,hollywood,-7.0,02:49:00
523,"Thursday, January 29, 1931",Kundli Sangraha (Tendulkar),55 N 36,12 E 59,Anita Ekberg,Malmo,hollywood,1.0,12:00:00
524,"Thursday, November 03, 1921",Web,40 N 22,78 W 45,Charles Bronson,Croyle,hollywood,-5.0,11:00:00
525,"Saturday, October 20, 1979",Unknown,40 N 43,73 W 52,Nargis Fakhri,Queens,hollywood,-5.0,12:00:00
526,"Friday, October 14, 1927",Web,51 N 30,0 W 10,Roger Moore,London,hollywood,0.0,00:45:00
527,"Sunday, October 13, 1918",Internet,40 N 45,111 W 53,Robert Walker,"111 W 53, 40 N 45",hollywood,-7.0,22:14:59
528,"Tuesday, October 01, 1935",Internet,51 N 24,0 E 25,Julie Andrews,"0 E 25, 51 N 24",hollywood,0.0,06:00:00
529,"Wednesday, October 01, 1930",Web,50 N 38,3 E 4,Philippe Noiret,Lille,hollywood,1.0,21:30:00
530,"Monday, September 30, 1974",Internet,34 N 3,118 W 14,Ashley Hamilton,"118 W 14, 34 N 3",hollywood,-8.0,19:14:00
531,"Wednesday, September 26, 1962",Internet,37 N 52,122 W 15,Melissa Anderson,"122 W 15, 37 N 52",hollywood,-8.0,11:14:00
532,"Wednesday, September 25, 1985",Unknown,31 S 56,115 E 50,Jessica Gomes,Perth,hollywood,8.0,12:00:00
533,"Wednesday, September 23, 1959",Internet,40 N 43,74 W 9,Jason Alexander,"74 W 9, 40 N 43",hollywood,-5.0,18:03:59
534,"Friday, September 22, 1944",Internet,42 N 25,71 W 1,J. Giovanni,"71 W 1, 42 N 25",hollywood,-5.0,23:55:00
535,"Monday, September 22, 1947",Internet,34 N 10,118 W 23,Robin Rose,"118 W 23, 34 N 10",hollywood,-8.0,09:00:00
536,"Sunday, September 19, 1948",Internet,50 N 35,1 W 12,Jeremy Irons,"1 W 12, 50 N 35",hollywood,0.0,02:00:00
537,"Friday, September 19, 1913",Web,47 N 36,122 W 20,Frances Farmer,Seattle WA,hollywood,-8.0,04:45:00
538,"Monday, September 18, 1933",Internet,40 N 49,74 W 9,Robert Blake,"74 W 9, 40 N 49",hollywood,-5.0,08:30:00
539,"Saturday, September 16, 1950",Internet,42 N 42,71 W 9,Paula Moore,"71 W 9, 42 N 42",hollywood,-5.0,16:14:59
540,"Tuesday, September 16, 1930",Internet,41 N 10,73 W 51,Anne Francis,"73 W 51, 41 N 10",hollywood,-5.0,09:15:00
541,"Saturday, September 14, 1940",Internet,40 N 42,74 W 0,Jane Graham,"74 W 0, 40 N 42",hollywood,-5.0,17:35:00
542,"Monday, September 13, 1915",Internet,35 N 4,106 W 39,Frank Rice,"106 W 39, 35 N 4",hollywood,-7.0,13:00:00
543,"Saturday, September 13, 1924",Internet,40 N 38,73 W 56,Scott Brady,"73 W 56, 40 N 38",hollywood,-5.0,13:09:59
544,"Wednesday, August 27, 1947",Internet,40 N 28,124 W 4,Tom Wilson,"124 W 4, 40 N 28",hollywood,-8.0,08:23:00
545,"Sunday, September 09, 1917",Internet,54 N 25,5 W 50,Edwin James,"5 W 50, 54 N 25",hollywood,0.0,13:43:01
546,"Wednesday, September 11, 1968",Internet,40 N 46,73 W 28,Jeremy Steele,"73 W 28, 40 N 46",hollywood,-5.0,15:00:59
547,"Tuesday, September 11, 1917",Internet,42 N 24,83 W 3,Nick Phillips,"83 W 3, 42 N 24",hollywood,-5.0,08:00:00
548,"Tuesday, September 08, 1925",Internet,50 N 46,1 W 5,Peter Sellers,"1 W 5, 50 N 46",hollywood,0.0,06:00:00
549,"Thursday, September 08, 1910",Web,48 N 54,2 E 8,Jean-louis Barrault,Le Vesinet,hollywood,2.0,05:51:00
550,"Tuesday, January 14, 1941",Unknown,30 N 55,85 E 6,Faye Dunaway,"Bascom, Florida, United States",hollywood,-5.0,12:00:00
551,"Friday, September 26, 1941",Unknown,18 N 10,76 W 26,Martine Beswick,"Port Antonio, Jamaica",hollywood,-5.0,12:00:00
552,"Sunday, February 02, 1947",Unknown,37 N 34,91 W 41,Farrah Fawcett,"Corpus Christi, Texas",hollywood,-5.0,12:00:00
553,"Friday, April 15, 1938",Unknown,36 N 49,10 E 17,Claudia Cardinale,"La Goulette, Tunisia",hollywood,1.0,12:00:00
554,"Monday, April 28, 1941",Unknown,59 N 20,18 E 3,Ann-margret,Stockholm,hollywood,1.0,12:00:00
555,"Wednesday, April 19, 1933",Unknown,40 N 1,75 W 18,Jayne Mansfield,"Mawr, Pennsylvania, United States",hollywood,-4.0,12:00:00
556,"Tuesday, December 26, 1961",Unknown,32 N 42,117 W 9,Tahnee Welch,San diego,hollywood,-5.0,12:00:00
557,"Wednesday, June 16, 1993",Unknown,26 N 21,80 W 5,Ariana Grande,Boca Raton,hollywood,-5.0,12:00:00
558,"Friday, September 01, 1939",Web,42 N 20,83 W 3,Lily Tomlin,Detroit MI,hollywood,-5.0,01:45:00
559,"Saturday, August 30, 1958",Internet,33 N 56,118 W 6,Steve Wright,"118 W 6, 33 N 56",hollywood,-8.0,15:30:00
560,"Wednesday, August 30, 1939",Internet,29 N 10,82 W 7,Elizabeth Ashley,"82 W 7, 29 N 10",hollywood,-5.0,03:29:59
561,"Monday, August 28, 1944",Internet,52 N 29,1 W 50,Kay Parker,"1 W 50, 52 N 29",hollywood,0.0,11:00:00
562,"Saturday, August 28, 1943",Internet,41 N 52,87 W 39,David Soul,"87 W 39, 41 N 52",hollywood,-6.0,02:54:59
563,"Sunday, August 27, 1916",Internet,48 N 2,111 W 50,George Montgomery,"111 W 50, 48 N 2",hollywood,-7.0,09:00:00
564,"Friday, August 26, 1904",Internet,40 N 42,74 W 0,Will Edward Rose,"74 W 0, 40 N 42",hollywood,-5.0,05:00:00
565,"Wednesday, August 26, 1908",Internet,40 N 47,81 W 23,Dr. Vivian Long,"81 W 23, 40 N 47",hollywood,-6.0,22:00:00
566,"Wednesday, August 26, 1908",Internet,43 N 21,85 W 14,Ralph Houston,"85 W 14, 43 N 21",hollywood,-6.0,21:14:59
567,"Sunday, August 23, 1970",Internet,44 N 38,121 W 6,River Phoenix,"121 W 6, 44 N 38",hollywood,-8.0,12:02:59
568,"Sunday, August 22, 1943",Internet,47 N 14,122 W 26,John Scott Fisher,"122 W 26, 47 N 14",hollywood,-8.0,13:08:00
569,"Wednesday, August 22, 1883",Internet,39 N 9,84 W 26,Jeff Davis,"84 W 26, 39 N 9",hollywood,-5.75,22:23:59
570,"Wednesday, March 11, 1964",Unknown,51 N 30,0 W 5,Shane Richie,London,hollywood,0.0,12:00:00
571,"Monday, August 20, 1956",Internet,41 N 54,89 W 4,Joan Allen,"89 W 4, 41 N 54",hollywood,-6.0,00:45:00
572,"Sunday, August 16, 1953",Internet,48 N 53,2 E 16,Kathie Lee Gifford,"2 E 16, 48 N 53",hollywood,1.0,23:30:00
573,"Wednesday, August 14, 1946",Internet,34 N 3,118 W 15,Susan St.james,"118 W 15, 34 N 3",hollywood,-8.0,20:39:00
574,"Saturday, July 21, 1951",Web,41 N 51,87 W 39,Robin Williams,Chicago,hollywood,-5.0,13:34:00
575,"Tuesday, September 16, 1924",Web,40 N 42,74 W 0,Lauren Bacall,New york,hollywood,-5.0,02:00:00
576,"Friday, March 04, 1938",Unknown,37 N 34,91 W 41,Paula Prentiss,"San Antonio, Texas",hollywood,-5.0,12:00:00
577,"Thursday, October 20, 1938",Unknown,41 N 51,87 W 39,Dolores Hart,Chicago,hollywood,-5.0,12:00:00
578,"Thursday, January 08, 1942",Unknown,34 N 0,118 W 15,Yvette Mimieux,Los angeles,hollywood,-5.0,12:00:00
579,"Wednesday, August 14, 1946",Unknown,34 N 0,118 W 15,Susan Saint James,Los angeles,hollywood,-5.0,12:00:00
580,"Friday, May 18, 1945",Unknown,32 N 42,117 W 9,Alana Stewart,San diego,hollywood,-5.0,12:00:00
581,"Saturday, August 12, 1939",Internet,35 N 7,90 W 1,George Hamilton,"90 W 1, 35 N 7",hollywood,-6.0,01:51:00
582,"Thursday, August 12, 1926",Internet,34 N 6,118 W 18,John Derek,"118 W 18, 34 N 6",hollywood,-8.0,13:19:59
583,"Wednesday, August 11, 1937",Internet,42 N 11,83 W 9,Carol A. Smith,"83 W 9, 42 N 11",hollywood,-5.0,17:21:00
584,"Thursday, August 11, 1949",Internet,34 N 0,118 W 29,Mary Bell,"118 W 29, 34 N 0",hollywood,-8.0,13:27:59
585,"Tuesday, August 08, 1944",Internet,39 N 57,83 W 0,John Holmes,"83 W 0, 39 N 57",hollywood,-5.0,22:00:00
586,"Tuesday, August 07, 1888",Internet,42 N 6,72 W 34,Laura Martin-smith,"72 W 34, 42 N 6",hollywood,-5.0,15:55:00
587,"Sunday, August 07, 1994",Internet,34 N 3,118 W 14,Sarah Grace White,"118 W 14, 34 N 3",hollywood,-8.0,01:55:00
588,"Wednesday, August 07, 1963",Internet,41 N 39,70 W 32,Patrick Kennedy,"70 W 32, 41 N 39",hollywood,-5.0,12:51:59
589,"Friday, August 07, 1953",Internet,40 N 42,74 W 0,H. Campbell,"74 W 0, 40 N 42",hollywood,-5.0,04:44:00
590,"Thursday, July 26, 1945",Unknown,51 N 28,0 W 15,Helen Mirren,Chiswick,hollywood,1.0,12:00:00
591,"Wednesday, June 10, 1992",Unknown,42 N 5,86 W 28,Kate Upton,"St. Joseph, Michigan, United States",hollywood,-4.0,12:00:00
592,"Sunday, August 05, 1894",Internet,40 N 54,74 W 10,Laura Wilson,"74 W 10, 40 N 54",hollywood,-5.0,15:00:00
593,"Tuesday, August 05, 1997",Internet,28 N 32,81 W 21,Devon Weeks,"81 W 21, 28 N 32",hollywood,-5.0,04:00:00
594,"Sunday, August 05, 1990",Internet,32 N 42,97 W 18,Faith Alexander,"97 W 18, 32 N 42",hollywood,-6.0,22:55:00
595,"Wednesday, April 07, 1954",Unknown,22 N 21,114 E 9,Jackie Chan,"Victoria Peak, British Hong Kong",hollywood,8.0,12:00:00
596,"Thursday, August 20, 1987",Unknown,49 N 18,21 E 34,Kristina Pelakova,"Svidnik, Slovakia",hollywood,2.0,12:00:00
597,"Wednesday, August 02, 1944",Internet,42 N 21,71 W 6,Tony Costa,"71 W 6, 42 N 21",hollywood,-5.0,12:33:00
598,"Wednesday, July 31, 1929",Internet,34 N 3,118 W 15,Don Murray,"118 W 15, 34 N 3",hollywood,-8.0,22:10:00
599,"Monday, July 28, 1986",Internet,40 N 46,73 W 59,Alexandra Nicole Richard,"73 W 59, 40 N 46",hollywood,-5.0,11:32:00
600,"Wednesday, July 26, 1950",Internet,51 N 24,0 E 18,Susan George,"0 E 18, 51 N 24",hollywood,0.0,02:00:00
601,"Saturday, July 26, 1952",Internet,42 N 21,71 W 6,Shirley May,"71 W 6, 42 N 21",hollywood,-5.0,14:09:59
602,"Tuesday, July 25, 1989",Internet,41 N 4,81 W 31,Baby Richmond,"81 W 31, 41 N 4",hollywood,-5.0,03:45:00
603,"Thursday, July 24, 1958",Internet,46 N 45,88 W 26,Cindy Fox,"88 W 26, 46 N 45",hollywood,-5.0,00:45:00
604,"Monday, July 24, 1950",Internet,41 N 46,72 W 31,Susan Kelly,"72 W 31, 41 N 46",hollywood,-5.0,02:35:00
605,"Wednesday, July 23, 1947",Internet,51 N 32,0 E 3,David Essex,"0 E 3, 51 N 32",hollywood,0.0,07:20:00
606,"Friday, July 23, 1954",Web,39 N 57,75 W 10,Annie Sprinkle,Philadelphia,hollywood,-4.0,11:34:00
607,"Wednesday, July 20, 1938",Internet,37 N 46,122 W 25,Natalie Wood,"122 W 25, 37 N 46",hollywood,-8.0,11:16:00
608,"Tuesday, July 15, 1952",Internet,44 N 49,91 W 29,Charles Miller,"91 W 29, 44 N 49",hollywood,-6.0,02:39:59
609,"Saturday, July 12, 1969",Internet,42 N 22,71 W 6,Richard Stuart,"71 W 6, 42 N 22",hollywood,-5.0,11:55:00
610,"Friday, July 12, 1963",Internet,42 N 24,71 W 4,Mark Stuart,"71 W 4, 42 N 24",hollywood,-5.0,16:58:59
611,"Saturday, July 11, 1942",Internet,26 N 12,98 W 18,Jose Gomez,"98 W 18, 26 N 12",hollywood,-6.0,21:00:00
612,"Saturday, July 10, 1943",Internet,42 N 14,71 W 0,Steve Blake,"71 W 0, 42 N 14",hollywood,-5.0,08:06:00
613,"Tuesday, January 21, 1986",Unknown,25 N 37,85 E 12,Sushant Singh Rajput,Patna,hollywood,5.5,12:00:00
614,"Monday, July 28, 1986",Dirty Data,9 N 58,76 E 14,Dulquer Salmaan,Cochin,hollywood,5.5,12:00:00
615,"Saturday, September 20, 1975",Dirty Data,25 N 42,85 E 13,Abhimanyu Singh,Sonepur,hollywood,5.5,12:00:00
616,"Tuesday, August 5, 1980",Dirty Data,18 N 58,72 E 50,Vatsal Sheth,Mumbai,hollywood,5.5,12:00:00
617,"Saturday, November 2, 1996",Dirty Data,18 N 34,73 E 58,Sumedh Mudgalkar,Pune,bollywood,5.5,12:00:00
618,"Monday, December 27, 1965",765 Notable Horoscopes,18 N 58,72 E 50,Salman Khan-1,Mumbai,bollywood,5.5,09:30:00
619,"Thursday, December 18, 1986",Unknown,31 N 35,74 E 56,Richa Chadda,Amritsar,bollywood,5.5,12:00:00
620,"Friday, December 28, 1951",Unknown,18 N 58,72 E 50,Sajid Khan,Mumbai,bollywood,5.5,12:00:00
621,"Saturday, November 25, 1978",Unknown,24 N 54,92 E 36,Rakhi Sawant,Badarpur,bollywood,5.5,11:07:02
622,"Thursday, September 4, 1952",765 Notable Horoscopes,18 N 58,72 E 50,Rishi Kapoor,Mumbai,bollywood,5.5,23:10:00
623,"Saturday, January 7, 1967",Unknown,27 N 14,95 E 24,Irrfan Khan,Jaipur,bollywood,5.5,12:00:00
624,"Sunday, September 19, 1976",Unknown,18 N 58,72 E 50,Ishaa Koppikar,Mumbai,bollywood,5.5,12:00:00
625,"Thursday, July 17, 1969",Unknown,25 N 44,82 E 41,Ravi Kishan,Jaunpur,bollywood,5.5,12:00:00
626,"Saturday, July 16, 1983",765 Notable Horoscopes,22 N 17,114 E 9,Katrina Kaif,Hong Kong,bollywood,8.0,06:40:00
627,"Friday, March 28, 1975",Unknown,18 N 58,72 E 50,Sandhya Mridul,Mumbai,bollywood,5.5,12:00:00
628,"Saturday, April 28, 1979",Unknown,18 N 58,72 E 50,Sharman Joshi,Mumbai,bollywood,5.5,12:00:00
629,"Monday, March 23, 1987",Unknown,31 N 43,76 E 55,Kangana Ranaut,Bhambla Mandi,bollywood,5.5,12:00:00
630,"Wednesday, August 4, 1965",Dirty Data,29 N 22,78 E 9,Vishal Bhardwaj,Bijnor,bollywood,5.5,00:00:00
631,"Friday, February 22, 1985",Dirty Data,26 N 7,85 E 23,Shreya Narayan,Muzaffarpur,bollywood,5.5,00:00:00
632,"Saturday, December 20, 1969",Dirty Data,18 N 58,72 E 50,Sohail Khan,Mumbai,bollywood,5.5,00:00:00
633,"Sunday, October 10, 1954",Kundli Sangraha (Bhat),13 N 5,80 E 18,Rekha,Madras,bollywood,5.5,11:00:00
634,"Sunday, October 11, 1942",Kundli Sangraha (Bhat),25 N 57,81 E 50,Amitabh Bachchan,Allahabad,bollywood,5.5,16:00:00
635,"Wednesday, August 27, 1980",Unknown,9 N 58,76 E 14,Neha Dhupia,Cochin,bollywood,5.5,12:00:00
636,"Saturday, July 24, 1937",Kundli Sangraha (Bhat),34 N 10,73 E 15,Manoj Kumar,Abbottabad,bollywood,5.0,18:45:00
637,"Tuesday, December 10, 1974",Kundli Sangraha (Bhat),18 N 58,72 E 50,Hrithik Roshan,Mumbai,bollywood,5.5,03:24:00
638,"Saturday, April 09, 1988",Dirty Data,28 N 39,77 E 13,Swara Bhaskar,Delhi,bollywood,5.5,00:00:00
639,"Wednesday, December 17, 1975",Dirty Data,13 N 5,80 E 18,Vaibhavi Merchant,Chennai,bollywood,5.5,12:00:00
640,"Saturday, March 04, 1922",Dirty Data,21 N 36,71 E 20,Dina Pathak,Amreli,bollywood,5.5,00:00:00
641,"Thursday, November 04, 1965",Dirty Data,55 N 52,4 W 14,Milind Soman,Glasgow,bollywood,0.0,00:00:00
642,"Friday, November 10, 1967",Unknown,22 N 52,78 E 50,Ashutosh Rana,Gadarwara,bollywood,5.5,12:00:00
643,"Monday, March 15, 1993",Reference,18 N 58,72 E 50,Alia Bhatt,Mumbai,bollywood,5.5,04:10:00
644,"Sunday, June 05, 1983",Dirty Data,28 N 39,77 E 13,Amit Sadh,Delhi,bollywood,5.5,00:00:00
645,"Monday, April 04, 1949",Dirty Data,21 N 32,70 E 32,Parveen Babi,Junagarh,bollywood,5.5,00:00:00
646,"Wednesday, April 02, 1969",Reference,28 N 39,77 E 13,Ajay Devgan,Delhi,bollywood,5.5,13:32:00
647,"Saturday, January 31, 1981",Kundli Sangraha (Bhat),19 N 3,72 E 54,Amrita Arora,Chembur,bollywood,5.5,12:00:00
648,"Thursday, February 01, 1917",Unknown,31 N 0,75 E 23,A. K. Hangal,Sialkot,bollywood,5.5,12:00:00
649,"Sunday, August 16, 1970",300 Important Horoscopes (MK Vishwanath),27 N 5,85 E 4,Manisha Koirala,Kathmandu *,bollywood,5.5,17:42:19
650,"Tuesday, January 28, 1986",Unknown,13 N 5,80 E 18,Shruti Haasan,Chennai,bollywood,5.5,12:00:00
651,"Saturday, November 09, 1985",Unknown,17 N 22,78 E 26,Payal Rohatgi,Hyderabad,bollywood,5.5,12:00:00
652,"Saturday, December 29, 1984",Unknown,23 N 3,88 E 0,Pooja Mishra,Munger Bihar,bollywood,5.5,14:48:28
653,"Sunday, May 10, 1981",Unknown,21 N 10,72 E 50,Namitha,Surat,bollywood,5.5,12:00:00
654,"Monday, May 14, 1962",Internet,28 N 36,77 E 12,Natasha Rastogi,New Delhi,bollywood,5.5,12:00:00
655,"Saturday, August 19, 1967",Unknown,22 N 30,88 E 20,Nandana Sen,Calcutta,bollywood,5.5,12:00:00
656,"Saturday, April 15, 1972",Unknown,18 N 58,72 E 50,Mandira Bedi,Mumbai,bollywood,5.5,12:00:00
657,"Wednesday, October 10, 1984",Unknown,35 N 10,95 W 39,Masumeh Makhija,Canadian,bollywood,-5.0,12:00:00
658,"Monday, October 29, 1990",Dirty Data,28 N 36,77 E 12,Kriti Kharbanda,New Delhi,bollywood,5.5,12:00:00
